Date,Median Sale Price,Average Sale Price,County
2001-01-01,214451.78,342552.42,Connecticut
2001-02-01,214451.78,349346.53,Connecticut
2001-03-01,217493.65,337250.78,Connecticut
2001-04-01,220535.52,337112.25,Connecticut
2001-05-01,228140.19,334997.97,Connecticut
2001-06-01,243349.54,374185.15,Connecticut
2001-07-01,243349.54,366500.51,Connecticut
2001-08-01,250954.21,388026.12,Connecticut
2001-09-01,240307.67,341957.62,Connecticut
2001-10-01,233809.48,322144.44,Connecticut
2001-11-01,229661.13,323005.86,Connecticut
2001-12-01,230421.59,332933.98,Connecticut
2002-01-01,231892.53,340677.85,Connecticut
2002-02-01,224482.15,331758.85,Connecticut
2002-03-01,235036.33,360223.7,Connecticut
2002-04-01,232042.24,338631.96,Connecticut
2002-05-01,247012.71,377019.93,Connecticut
2002-06-01,262432.29,413482.61,Connecticut
2002-07-01,267971.36,427428.18,Connecticut
2002-08-01,276953.64,413867.13,Connecticut
2002-09-01,257791.44,375839.74,Connecticut
2002-10-01,259737.6,370760.47,Connecticut
2002-11-01,255994.99,372544.27,Connecticut
2002-12-01,254497.94,360826.61,Connecticut
2003-01-01,251707.79,381792.67,Connecticut
2003-02-01,242927.29,344608.27,Connecticut
2003-03-01,248780.96,353841.08,Connecticut
2003-04-01,263415.13,378225.95,Connecticut
2003-05-01,273659.05,394254.6,Connecticut
2003-06-01,289756.64,424296.42,Connecticut
2003-07-01,303659.11,445299.28,Connecticut
2003-08-01,307317.65,452703.29,Connecticut
2003-09-01,288293.23,413083.16,Connecticut
2003-10-01,276585.89,393052.42,Connecticut
2003-11-01,285293.22,401128.04,Connecticut
2003-12-01,285366.39,399508.19,Connecticut
2004-01-01,277809.29,419330.69,Connecticut
2004-02-01,259421.7,407141.5,Connecticut
2004-03-01,277809.29,400279.31,Connecticut
2004-04-01,289354.98,449061.21,Connecticut
2004-05-01,313444.13,450773.19,Connecticut
2004-06-01,326415.22,474337.92,Connecticut
2004-07-01,336392.98,497344.79,Connecticut
2004-08-01,334967.58,492241.15,Connecticut
2004-09-01,319288.25,460124.49,Connecticut
2004-10-01,313586.67,441950.97,Connecticut
2004-11-01,319288.25,447763.33,Connecticut
2004-12-01,320713.64,449997.67,Connecticut
2005-01-01,313028.43,453930.03,Connecticut
2005-02-01,296480.67,446242.32,Connecticut
2005-03-01,310270.47,444648.86,Connecticut
2005-04-01,321302.31,466345.01,Connecticut
2005-05-01,333713.13,475864.3,Connecticut
2005-06-01,350122.99,506686.63,Connecticut
2005-07-01,365429.66,532368.25,Connecticut
2005-08-01,359899.95,533237.41,Connecticut
2005-09-01,341987.0,481860.24,Connecticut
2005-10-01,338539.55,468672.77,Connecticut
2005-11-01,341987.0,470012.29,Connecticut
2005-12-01,344744.96,484277.97,Connecticut
2006-01-01,327304.04,477667.56,Connecticut
2006-02-01,320624.36,463871.06,Connecticut
2006-03-01,333983.71,483459.62,Connecticut
2006-04-01,332647.78,464063.99,Connecticut
2006-05-01,336655.58,488281.91,Connecticut
2006-06-01,354022.73,514354.45,Connecticut
2006-07-01,354022.73,509351.3,Connecticut
2006-08-01,347209.47,484928.9,Connecticut
2006-09-01,340663.38,460984.08,Connecticut
2006-10-01,332313.79,439036.54,Connecticut
2006-11-01,332647.78,450144.93,Connecticut
2006-12-01,333983.71,469961.12,Connecticut
2007-01-01,323365.41,487193.41,Connecticut
2007-02-01,316872.13,460332.11,Connecticut
2007-03-01,328560.03,491398.84,Connecticut
2007-04-01,333494.93,492017.95,Connecticut
2007-05-01,344014.04,523112.33,Connecticut
2007-06-01,363493.89,551033.75,Connecticut
2007-07-01,357130.47,551415.07,Connecticut
2007-08-01,354533.16,524377.63,Connecticut
2007-09-01,324664.06,468288.16,Connecticut
2007-10-01,324664.06,451311.77,Connecticut
2007-11-01,324664.06,491692.5,Connecticut
2007-12-01,315248.81,452794.37,Connecticut
2008-01-01,290216.62,410239.68,Connecticut
2008-02-01,293343.96,432164.93,Connecticut
2008-03-01,294845.08,418402.69,Connecticut
