Date,Median Sale Price,Average Sale Price,County
2001-01-01,369587.11,607031.57,Fairfield
2001-02-01,351716.13,612695.88,Fairfield
2001-03-01,375670.85,581427.5,Fairfield
2001-04-01,372628.98,579640.9,Fairfield
2001-05-01,401488.72,576070.59,Fairfield
2001-06-01,425861.69,646902.06,Fairfield
2001-07-01,433466.37,656288.16,Fairfield
2001-08-01,447915.25,685425.69,Fairfield
2001-09-01,392401.13,575305.87,Fairfield
2001-10-01,372628.98,537846.34,Fairfield
2001-11-01,392401.13,537594.82,Fairfield
2001-12-01,387838.33,594397.7,Fairfield
2002-01-01,404202.61,594532.36,Fairfield
2002-02-01,372764.63,567337.61,Fairfield
2002-03-01,414681.94,642277.94,Fairfield
2002-04-01,419173.08,599222.41,Fairfield
2002-05-01,449114.01,695586.54,Fairfield
2002-06-01,525313.69,755213.38,Fairfield
2002-07-01,501510.64,777741.88,Fairfield
2002-08-01,507498.83,707006.24,Fairfield
2002-09-01,434143.54,653868.29,Fairfield
2002-10-01,456599.24,626522.9,Fairfield
2002-11-01,434143.54,636673.26,Fairfield
2002-12-01,449114.01,611780.51,Fairfield
2003-01-01,414878.83,639164.66,Fairfield
2003-02-01,419634.94,579180.81,Fairfield
2003-03-01,424391.04,578292.01,Fairfield
2003-04-01,452854.51,620446.11,Fairfield
2003-05-01,475610.65,677092.17,Fairfield
2003-06-01,511464.38,707819.02,Fairfield
2003-07-01,519513.17,751605.06,Fairfield
2003-08-01,522440.01,788279.38,Fairfield
2003-09-01,490244.83,698331.78,Fairfield
2003-10-01,468293.57,683481.67,Fairfield
2003-11-01,460976.48,693384.49,Fairfield
2003-12-01,497561.91,705927.53,Fairfield
2004-01-01,484633.95,748186.84,Fairfield
2004-02-01,468241.92,733853.1,Fairfield
2004-03-01,477506.98,704415.71,Fairfield
2004-04-01,523119.59,825339.99,Fairfield
2004-05-01,529533.86,828415.95,Fairfield
2004-06-01,563030.62,853965.69,Fairfield
2004-07-01,611494.01,869713.85,Fairfield
2004-08-01,605792.44,901881.44,Fairfield
2004-09-01,569088.54,836041.39,Fairfield
2004-10-01,524544.98,785055.65,Fairfield
2004-11-01,534522.74,788870.7,Fairfield
2004-12-01,535948.13,783016.19,Fairfield
2005-01-01,524012.35,813386.43,Fairfield
2005-02-01,510222.55,850003.52,Fairfield
2005-03-01,551591.94,816305.9,Fairfield
2005-04-01,566760.72,823840.15,Fairfield
2005-05-01,592961.34,862590.31,Fairfield
2005-06-01,613646.04,930017.32,Fairfield
2005-07-01,648120.53,940906.71,Fairfield
2005-08-01,634330.73,997201.22,Fairfield
2005-09-01,586066.44,885310.4,Fairfield
2005-10-01,565381.74,845322.38,Fairfield
2005-11-01,561934.29,831837.13,Fairfield
2005-12-01,589513.89,886925.13,Fairfield
2006-01-01,547733.28,852276.68,Fairfield
2006-02-01,544393.45,839108.38,Fairfield
2006-03-01,547733.28,850283.84,Fairfield
2006-04-01,534373.94,844034.36,Fairfield
2006-05-01,568440.27,885688.21,Fairfield
2006-06-01,621209.7,952679.9,Fairfield
2006-07-01,614530.03,925199.75,Fairfield
2006-08-01,594491.0,890541.1,Fairfield
2006-09-01,534373.94,799763.49,Fairfield
2006-10-01,547733.28,772572.55,Fairfield
2006-11-01,545061.42,777565.43,Fairfield
2006-12-01,527694.26,842919.86,Fairfield
2007-01-01,532449.07,914414.92,Fairfield
2007-02-01,540241.0,831894.31,Fairfield
2007-03-01,538942.35,902993.79,Fairfield
2007-04-01,573356.74,919020.94,Fairfield
2007-05-01,589265.28,967900.81,Fairfield
2007-06-01,642834.85,1015354.95,Fairfield
2007-07-01,649328.13,1038228.9,Fairfield
2007-08-01,616861.72,951441.69,Fairfield
2007-09-01,519462.5,857298.0,Fairfield
2007-10-01,532449.07,800830.83,Fairfield
2007-11-01,555824.88,940733.09,Fairfield
2007-12-01,519462.5,818244.84,Fairfield
2008-01-01,456590.81,691181.93,Fairfield
2008-02-01,494118.82,810082.97,Fairfield
2008-03-01,475354.81,778835.59,Fairfield
2008-04-01,487864.15,819838.68,Fairfield
2008-05-01,520388.43,822284.23,Fairfield
2008-06-01,541028.83,873444.45,Fairfield
2008-07-01,631721.53,899512.19,Fairfield
2008-08-01,547908.97,902791.39,Fairfield
2008-09-01,481609.48,710055.7,Fairfield
2008-10-01,481609.48,676517.47,Fairfield
2008-11-01,431572.13,633807.45,Fairfield
2008-12-01,404364.33,589487.45,Fairfield
2009-01-01,388580.84,579601.56,Fairfield
2009-02-01,376486.22,561744.42,Fairfield
2009-03-01,396565.48,645073.37,Fairfield
2009-04-01,420409.61,606819.23,Fairfield
2009-05-01,426684.38,629227.74,Fairfield
2009-06-01,489432.08,716256.82,Fairfield
