Date,Median Sale Price,Average Sale Price,County
2001-01-01,192398.23,223857.89,Hartford
2001-02-01,197721.5,239366.58,Hartford
2001-03-01,193158.7,231201.07,Hartford
2001-04-01,205326.17,242797.64,Hartford
2001-05-01,201828.02,238740.25,Hartford
2001-06-01,208368.04,247051.1,Hartford
2001-07-01,212930.85,253548.35,Hartford
2001-08-01,220535.52,262732.5,Hartford
2001-09-01,212930.85,244306.64,Hartford
2001-10-01,212930.85,245466.78,Hartford
2001-11-01,212930.85,250371.9,Hartford
2001-12-01,209888.98,240742.1,Hartford
2002-01-01,209436.83,250843.08,Hartford
2002-02-01,194616.07,235951.63,Hartford
2002-03-01,209436.83,254103.17,Hartford
2002-04-01,202101.3,237616.63,Hartford
2002-05-01,213179.45,250443.51,Hartford
2002-06-01,224557.01,277908.31,Hartford
2002-07-01,231293.72,278313.01,Hartford
2002-08-01,245515.66,290190.24,Hartford
2002-09-01,232042.24,277842.34,Hartford
2002-10-01,229048.15,265705.63,Hartford
2002-11-01,232042.24,273084.08,Hartford
2002-12-01,224557.01,258350.06,Hartford
2003-01-01,219512.61,265782.71,Hartford
2003-02-01,217317.48,247725.78,Hartford
2003-03-01,213658.94,254662.63,Hartford
2003-04-01,226829.7,263330.62,Hartford
2003-05-01,234146.78,273541.93,Hartford
2003-06-01,241463.87,297230.58,Hartford
2003-07-01,256098.04,319034.87,Hartford
2003-08-01,255659.02,311014.71,Hartford
2003-09-01,245488.27,291686.0,Hartford
2003-10-01,242927.29,287892.57,Hartford
2003-11-01,248634.61,294415.9,Hartford
2003-12-01,248780.96,283178.68,Hartford
2004-01-01,233764.61,279933.49,Hartford
2004-02-01,235190.01,281878.56,Hartford
2004-03-01,242316.98,277993.88,Hartford
2004-04-01,246593.16,290237.12,Hartford
2004-05-01,256570.92,296340.35,Hartford
2004-06-01,263697.89,309165.51,Hartford
2004-07-01,277951.82,335365.07,Hartford
2004-08-01,277951.82,333896.3,Hartford
2004-09-01,263697.89,308025.47,Hartford
2004-10-01,263697.89,301754.72,Hartford
2004-11-01,270040.89,308410.72,Hartford
2004-12-01,270824.86,311920.08,Hartford
2005-01-01,259248.21,299027.08,Hartford
2005-02-01,255111.27,301333.84,Hartford
2005-03-01,257524.49,291192.18,Hartford
2005-04-01,264764.13,307170.32,Hartford
2005-05-01,268901.07,307492.13,Hartford
2005-06-01,289585.77,334241.87,Hartford
2005-07-01,297859.65,345277.94,Hartford
2005-08-01,310270.47,346056.72,Hartford
2005-09-01,289585.77,325464.0,Hartford
2005-10-01,295101.69,333957.69,Hartford
2005-11-01,292343.73,325687.37,Hartford
2005-12-01,296480.67,334406.3,Hartford
2006-01-01,275202.58,312671.57,Hartford
2006-02-01,280546.32,310166.78,Hartford
2006-03-01,283218.19,324495.31,Hartford
2006-04-01,287225.99,317109.85,Hartford
2006-05-01,293905.67,322785.51,Hartford
2006-06-01,301186.51,342341.99,Hartford
2006-07-01,307265.01,357426.39,Hartford
2006-08-01,300585.34,345129.64,Hartford
2006-09-01,300585.34,338178.43,Hartford
2006-10-01,291233.8,322961.7,Hartford
2006-11-01,293905.67,322919.83,Hartford
2006-12-01,283886.15,321865.78,Hartford
2007-01-01,279211.1,319557.81,Hartford
2007-02-01,283756.39,324035.42,Hartford
2007-03-01,292197.66,344669.82,Hartford
2007-04-01,285704.38,313861.83,Hartford
2007-05-01,284723.89,317731.67,Hartford
2007-06-01,301288.25,355151.83,Hartford
2007-07-01,308430.86,365610.72,Hartford
2007-08-01,308755.53,356368.33,Hartford
2007-09-01,292197.66,320606.36,Hartford
2007-10-01,285704.38,325757.23,Hartford
2007-11-01,283107.06,330888.29,Hartford
2007-12-01,272717.81,325772.75,Hartford
2008-01-01,252688.61,301397.88,Hartford
2008-02-01,250186.74,295347.51,Hartford
2008-03-01,271452.62,307687.2,Hartford
2008-04-01,266448.88,307092.98,Hartford
2008-05-01,256441.41,301497.01,Hartford
2008-06-01,281460.09,332708.1,Hartford
2008-07-01,282711.02,335616.39,Hartford
2008-08-01,283961.95,343458.54,Hartford
2008-09-01,265510.68,309458.51,Hartford
2008-10-01,250186.74,296377.57,Hartford
2008-11-01,255190.48,308322.17,Hartford
2008-12-01,236989.39,276007.77,Hartford
2009-01-01,232166.5,269541.24,Hartford
2009-02-01,228401.64,274021.55,Hartford
2009-03-01,232793.98,259247.63,Hartford
2009-04-01,225891.73,274114.98,Hartford
2009-05-01,244716.04,281876.45,Hartford
2009-06-01,270442.6,317724.53,Hartford
2009-07-01,259775.49,300003.07,Hartford
2009-08-01,260402.97,303881.4,Hartford
2009-09-01,244716.04,283016.27,Hartford
2009-10-01,240951.18,278865.38,Hartford
2009-11-01,244716.04,282464.48,Hartford
2009-12-01,243774.83,286367.09,Hartford
2010-01-01,229662.86,269537.44,Hartford
2010-02-01,224415.19,271147.5,Hartford
2010-03-01,234601.85,266836.43,Hartford
2010-04-01,230897.61,267947.46,Hartford
2010-05-01,245714.57,275116.44,Hartford
2010-06-01,265470.51,301983.37,Hartford
2010-07-01,253123.05,295114.69,Hartford
2010-08-01,256827.29,303988.95,Hartford
2010-09-01,234601.85,279878.36,Hartford
2010-10-01,247196.26,307975.2,Hartford
2010-11-01,255592.54,296163.03,Hartford
2010-12-01,242148.62,283435.21,Hartford
2011-01-01,215488.79,258114.41,Hartford
2011-02-01,209951.92,254987.69,Hartford
2011-03-01,210700.15,244704.42,Hartford
2011-04-01,221414.73,281013.17,Hartford
2011-05-01,228657.54,291124.4,Hartford
2011-06-01,245417.78,305241.3,Hartford
2011-07-01,249607.84,291904.98,Hartford
2011-08-01,246614.94,295035.18,Hartford
2011-09-01,225066.06,268272.82,Hartford
2011-10-01,224766.77,263720.4,Hartford
2011-11-01,226263.22,269237.73,Hartford
2011-12-01,215488.79,261435.45,Hartford
2012-01-01,199383.58,240524.64,Hartford
2012-02-01,189121.19,226592.35,Hartford
2012-03-01,205247.81,247297.33,Hartford
2012-04-01,212284.87,249185.42,Hartford
2012-05-01,217562.67,269626.7,Hartford
2012-06-01,236914.61,290516.98,Hartford
2012-07-01,240374.5,281918.93,Hartford
2012-08-01,239084.37,279108.6,Hartford
2012-09-01,212284.87,264668.92,Hartford
2012-10-01,222723.19,264416.43,Hartford
2012-11-01,208179.92,251195.75,Hartford
2012-12-01,222840.48,269426.65,Hartford
2013-01-01,208061.9,235942.74,Hartford
2013-02-01,186677.76,224074.44,Hartford
2013-03-01,194191.11,237789.11,Hartford
2013-04-01,209217.8,245871.31,Hartford
2013-05-01,217655.87,255384.43,Hartford
2013-06-01,236959.39,278658.46,Hartford
2013-07-01,239849.14,287582.54,Hartford
2013-08-01,232913.74,289677.97,Hartford
2013-09-01,210373.7,252153.73,Hartford
2013-10-01,213841.4,258244.1,Hartford
2013-11-01,214361.55,256623.85,Hartford
2013-12-01,202282.4,249716.65,Hartford
2014-01-01,193378.94,228108.62,Hartford
2014-02-01,186553.8,228208.78,Hartford
2014-03-01,193378.94,239141.34,Hartford
2014-04-01,208109.87,274434.33,Hartford
2014-05-01,207029.22,261820.68,Hartford
2014-06-01,227504.64,309025.76,Hartford
2014-07-01,224092.07,273885.83,Hartford
2014-08-01,226224.92,279424.02,Hartford
2014-09-01,210441.79,262303.07,Hartford
2014-10-01,204754.17,249189.71,Hartford
2014-11-01,210441.79,251368.3,Hartford
2014-12-01,201341.6,239074.32,Hartford
2015-01-01,181726.69,218686.73,Hartford
2015-02-01,187464.24,245382.06,Hartford
2015-03-01,204506.44,235942.22,Hartford
2015-04-01,203370.29,239765.15,Hartford
2015-05-01,207346.81,246332.68,Hartford
2015-06-01,238590.85,279363.74,Hartford
2015-07-01,222287.14,259886.6,Hartford
2015-08-01,220866.95,267674.99,Hartford
2015-09-01,215867.91,249458.31,Hartford
2015-10-01,195985.34,237438.89,Hartford
2015-11-01,198825.7,241634.38,Hartford
2015-12-01,202720.42,239887.64,Hartford
2016-01-01,190110.7,216875.09,Hartford
2016-02-01,187642.46,218966.52,Hartford
2016-03-01,196337.4,235772.26,Hartford
2016-04-01,201947.04,241480.14,Hartford
2016-05-01,218775.96,256652.13,Hartford
2016-06-01,224273.41,300758.78,Hartford
2016-07-01,229995.24,268259.26,Hartford
2016-08-01,229995.24,272211.61,Hartford
2016-09-01,218775.96,253539.4,Hartford
2016-10-01,218775.96,317759.45,Hartford
2016-11-01,202732.39,232428.27,Hartford
2016-12-01,207556.68,239070.21,Hartford
2017-01-01,197720.79,248096.5,Hartford
2017-02-01,190251.34,273052.74,Hartford
2017-03-01,193326.99,220567.98,Hartford
2017-04-01,198324.93,229754.14,Hartford
2017-05-01,214197.52,245379.44,Hartford
2017-06-01,225182.01,258683.17,Hartford
2017-07-01,230674.25,268173.49,Hartford
2017-08-01,219689.76,267091.6,Hartford
2017-09-01,214563.85,243630.84,Hartford
2017-10-01,210902.17,243996.39,Hartford
2017-11-01,214197.52,239667.93,Hartford
2017-12-01,208705.28,239575.31,Hartford
2018-01-01,184979.83,216781.06,Hartford
2018-02-01,183650.12,207648.52,Hartford
2018-03-01,199188.43,232295.34,Hartford
2018-04-01,203745.9,237394.26,Hartford
2018-05-01,214469.37,246410.84,Hartford
2018-06-01,235916.31,263136.48,Hartford
2018-07-01,241170.81,276854.7,Hartford
2018-08-01,229482.23,267510.21,Hartford
2018-09-01,195167.13,229008.54,Hartford
2018-10-01,203745.9,235523.51,Hartford
2018-11-01,197579.91,237580.1,Hartford
2018-12-01,211252.33,245475.52,Hartford
2019-01-01,184320.61,217661.5,Hartford
2019-02-01,189586.91,209942.56,Hartford
2019-03-01,200119.52,231277.44,Hartford
2019-04-01,210652.13,237197.61,Hartford
2019-05-01,216971.69,246991.83,Hartford
2019-06-01,228557.56,258445.94,Hartford
2019-07-01,236983.64,272717.15,Hartford
2019-08-01,226451.03,255236.43,Hartford
2019-09-01,215918.43,248648.19,Hartford
2019-10-01,220131.47,240450.16,Hartford
2019-11-01,207492.34,234576.32,Hartford
2019-12-01,210652.13,238214.86,Hartford
2020-01-01,202853.45,232663.22,Hartford
2020-02-01,195051.4,220308.91,Hartford
2020-03-01,213256.19,233712.47,Hartford
2020-04-01,233021.4,251946.41,Hartford
2020-05-01,228860.31,256934.71,Hartford
2020-06-01,239263.05,269628.63,Hartford
2020-07-01,246440.94,272292.32,Hartford
2020-08-01,254815.14,287344.15,Hartford
2020-09-01,248625.51,280260.72,Hartford
2020-10-01,254867.16,276417.4,Hartford
2020-11-01,244464.42,272187.22,Hartford
2020-12-01,244464.42,285331.37,Hartford
2021-01-01,231750.0,264817.23,Hartford
2021-02-01,225000.0,249238.57,Hartford
2021-03-01,230000.0,257869.69,Hartford
2021-04-01,241000.0,276899.65,Hartford
2021-05-01,250000.0,284871.8,Hartford
2021-06-01,260000.0,297728.77,Hartford
2021-07-01,268950.0,304804.62,Hartford
2021-08-01,277000.0,314632.98,Hartford
2021-09-01,259000.0,286859.5,Hartford
2021-10-01,250000.0,290889.36,Hartford
