Date,Median Sale Price,Average Sale Price,County
2001-01-01,205326.17,287938.0,Litchfield
2001-02-01,193006.6,298960.24,Litchfield
2001-03-01,199242.44,294080.91,Litchfield
2001-04-01,212930.85,274440.4,Litchfield
2001-05-01,208368.04,294296.5,Litchfield
2001-06-01,230383.57,289057.5,Litchfield
2001-07-01,231182.06,281143.13,Litchfield
2001-08-01,233463.46,341436.43,Litchfield
2001-09-01,214185.62,281995.48,Litchfield
2001-10-01,212930.85,259296.7,Litchfield
2001-11-01,209888.98,285076.6,Litchfield
2001-12-01,228140.19,305387.58,Litchfield
2002-01-01,212954.89,299571.44,Litchfield
2002-02-01,222311.44,316106.33,Litchfield
2002-03-01,235036.33,303592.22,Litchfield
2002-04-01,215948.99,278232.09,Litchfield
2002-05-01,221562.91,310017.3,Litchfield
2002-06-01,229048.15,284877.39,Litchfield
2002-07-01,227551.1,313439.67,Litchfield
2002-08-01,239527.47,303453.0,Litchfield
2002-09-01,232042.24,302864.03,Litchfield
2002-10-01,237955.57,305537.52,Litchfield
2002-11-01,224557.01,294251.06,Litchfield
2002-12-01,247012.71,359077.41,Litchfield
2003-01-01,248049.25,334290.79,Litchfield
2003-02-01,230634.58,280534.74,Litchfield
2003-03-01,216585.77,294323.71,Litchfield
2003-04-01,224268.72,298698.33,Litchfield
2003-05-01,241463.87,336789.01,Litchfield
2003-06-01,240732.16,323915.65,Litchfield
2003-07-01,263415.13,335037.6,Litchfield
2003-08-01,272927.34,339981.51,Litchfield
2003-09-01,270732.22,351143.84,Litchfield
2003-10-01,260188.3,322271.21,Litchfield
2003-11-01,278049.3,353936.97,Litchfield
2003-12-01,251707.79,302857.57,Litchfield
2004-01-01,277951.82,321272.14,Litchfield
2004-02-01,242316.98,359451.99,Litchfield
2004-03-01,273319.29,344295.18,Litchfield
2004-04-01,279377.22,375053.77,Litchfield
2004-05-01,276526.43,362901.86,Litchfield
2004-06-01,271715.73,372433.83,Litchfield
2004-07-01,302896.22,371790.46,Litchfield
2004-08-01,285007.53,355008.26,Litchfield
2004-09-01,277951.82,382564.38,Litchfield
2004-10-01,285078.79,371178.97,Litchfield
2004-11-01,285078.79,351251.56,Litchfield
2004-12-01,270824.86,373892.07,Litchfield
2005-01-01,296480.67,393024.63,Litchfield
2005-02-01,257179.74,392335.13,Litchfield
2005-03-01,263178.31,370873.88,Litchfield
