Date,Median Sale Price,Average Sale Price,County
2001-01-01,226616.22,255603.52,Middlesex
2001-02-01,197721.5,242720.47,Middlesex
2001-03-01,241828.6,247683.62,Middlesex
2001-04-01,228140.19,256499.82,Middlesex
2001-05-01,227988.1,252791.58,Middlesex
2001-06-01,237265.8,276325.17,Middlesex
2001-07-01,228140.19,256759.13,Middlesex
2001-08-01,236505.33,269457.42,Middlesex
2001-09-01,258558.89,298145.11,Middlesex
2001-10-01,228140.19,260843.49,Middlesex
2001-11-01,238786.74,299432.95,Middlesex
2001-12-01,228140.19,287739.37,Middlesex
2002-01-01,232042.24,249198.52,Middlesex
2002-02-01,221188.65,267198.38,Middlesex
2002-03-01,253000.89,314714.35,Middlesex
2002-04-01,220065.87,262751.43,Middlesex
2002-05-01,247012.71,278601.61,Middlesex
2002-06-01,254497.94,295483.28,Middlesex
2002-07-01,258240.56,308018.33,Middlesex
2002-08-01,267222.84,341541.02,Middlesex
2002-09-01,291175.58,349402.87,Middlesex
2002-10-01,267971.36,317780.12,Middlesex
2002-11-01,243270.09,278334.25,Middlesex
2002-12-01,276953.64,331269.79,Middlesex
2003-01-01,219512.61,271115.57,Middlesex
2003-02-01,226829.7,271146.72,Middlesex
2003-03-01,276439.55,293073.27,Middlesex
2003-04-01,279659.06,321012.37,Middlesex
2003-05-01,263268.79,325840.52,Middlesex
2003-06-01,300000.57,359285.08,Middlesex
2003-07-01,280976.14,330819.98,Middlesex
2003-08-01,307317.65,349694.04,Middlesex
2003-09-01,285366.39,331959.67,Middlesex
2003-10-01,292683.48,359394.29,Middlesex
2003-11-01,285366.39,345173.15,Middlesex
2003-12-01,291529.57,320473.67,Middlesex
2004-01-01,267974.07,354596.35,Middlesex
2004-02-01,263697.89,386780.18,Middlesex
2004-03-01,301399.56,330297.7,Middlesex
2004-04-01,315368.42,357720.24,Middlesex
2004-05-01,330691.4,373515.92,Middlesex
2004-06-01,323564.43,377973.15,Middlesex
2004-07-01,349078.98,413739.41,Middlesex
2004-08-01,338531.07,403454.95,Middlesex
2004-09-01,329622.36,383835.65,Middlesex
2004-10-01,320713.64,376646.1,Middlesex
2004-11-01,346370.74,387111.78,Middlesex
2004-12-01,299332.73,370042.42,Middlesex
2005-01-01,313580.02,360178.43,Middlesex
2005-02-01,321302.31,332326.58,Middlesex
2005-03-01,284414.6,327368.25,Middlesex
2005-04-01,307512.51,338633.93,Middlesex
2005-05-01,328886.7,378700.76,Middlesex
2005-06-01,361065.19,404005.72,Middlesex
2005-07-01,352329.35,395411.18,Middlesex
2005-08-01,351639.86,393912.06,Middlesex
2005-09-01,362326.96,413289.9,Middlesex
2005-10-01,344744.96,402827.96,Middlesex
2005-11-01,336126.34,383346.78,Middlesex
2005-12-01,358534.76,415247.66,Middlesex
2006-01-01,333850.12,378870.56,Middlesex
2006-02-01,340663.38,388007.85,Middlesex
2006-03-01,331311.84,380652.86,Middlesex
2006-04-01,333983.71,378272.59,Middlesex
2006-05-01,320624.36,375796.31,Middlesex
2006-06-01,347343.06,416109.49,Middlesex
2006-07-01,368050.05,435906.87,Middlesex
2006-08-01,313944.69,355640.27,Middlesex
2006-09-01,373928.16,442575.41,Middlesex
2006-10-01,339327.45,401022.4,Middlesex
2006-11-01,371991.06,396079.88,Middlesex
2006-12-01,360034.44,421444.3,Middlesex
2007-01-01,325313.39,380863.36,Middlesex
2007-02-01,324664.06,407666.73,Middlesex
2007-03-01,318170.78,381258.48,Middlesex
2007-04-01,358429.13,394563.83,Middlesex
2007-05-01,315248.81,405034.26,Middlesex
2007-06-01,376610.32,433854.05,Middlesex
2007-07-01,324664.06,384209.86,Middlesex
2007-08-01,374013.0,450567.9,Middlesex
2007-09-01,316872.13,390001.63,Middlesex
2007-10-01,357130.47,383468.77,Middlesex
2007-11-01,320768.1,381181.46,Middlesex
2007-12-01,342520.59,390431.73,Middlesex
2008-01-01,312733.43,365421.11,Middlesex
2008-02-01,286151.09,322563.2,Middlesex
2008-03-01,325242.77,349940.28,Middlesex
2008-04-01,331497.44,391552.38,Middlesex
2008-05-01,293969.42,372414.33,Middlesex
2008-06-01,319926.3,338162.25,Middlesex
2008-07-01,317612.07,360922.7,Middlesex
2008-08-01,322740.9,361093.74,Middlesex
2008-09-01,306478.76,415739.24,Middlesex
2008-10-01,310231.56,358552.0,Middlesex
2008-11-01,287276.93,322235.12,Middlesex
2008-12-01,275205.42,330337.67,Middlesex
2009-01-01,247790.68,279410.35,Middlesex
2009-02-01,267305.22,299818.62,Middlesex
2009-03-01,263540.35,278850.02,Middlesex
2009-04-01,291776.82,324619.77,Middlesex
2009-05-01,276717.37,314974.89,Middlesex
2009-06-01,295039.7,401315.96,Middlesex
2009-07-01,298051.59,338057.15,Middlesex
2009-08-01,291776.82,350749.78,Middlesex
2009-09-01,282364.66,348322.77,Middlesex
2009-10-01,276089.89,337325.78,Middlesex
2009-11-01,292404.3,341048.15,Middlesex
2009-12-01,288639.43,379696.76,Middlesex
2010-01-01,268557.38,307310.16,Middlesex
2010-02-01,308069.27,363935.02,Middlesex
2010-03-01,271644.25,313897.04,Middlesex
2010-04-01,259235.04,309338.83,Middlesex
2010-05-01,283065.65,338019.08,Middlesex
2010-06-01,291400.19,317406.77,Middlesex
2010-07-01,283991.71,334397.61,Middlesex
2010-08-01,296339.18,317919.25,Middlesex
2010-09-01,277817.98,350679.9,Middlesex
2010-10-01,253123.05,289669.97,Middlesex
