Date,Median Sale Price,Average Sale Price,County
2001-01-01,182512.15,235175.24,New Haven
2001-02-01,182512.15,207160.58,New Haven
2001-03-01,185554.02,221848.14,New Haven
2001-04-01,184793.56,217779.41,New Haven
2001-05-01,197721.5,239188.69,New Haven
2001-06-01,205326.17,250089.64,New Haven
2001-07-01,206847.11,262637.53,New Haven
2001-08-01,212778.75,254841.47,New Haven
2001-09-01,212778.75,257653.65,New Haven
2001-10-01,206847.11,238432.94,New Haven
2001-11-01,197797.55,242928.11,New Haven
2001-12-01,205706.41,238599.48,New Haven
2002-01-01,194616.07,229687.87,New Haven
2002-02-01,193119.02,228053.33,New Haven
2002-03-01,202101.3,234009.91,New Haven
2002-04-01,200529.41,244913.9,New Haven
2002-05-01,205095.4,249737.37,New Haven
2002-06-01,224407.3,270930.12,New Haven
2002-07-01,224557.01,279884.35,New Haven
2002-08-01,229048.15,276331.89,New Haven
2002-09-01,228299.62,274859.12,New Haven
2002-10-01,221562.91,264619.24,New Haven
2002-11-01,224557.01,269187.27,New Haven
2002-12-01,224407.3,257784.11,New Haven
2003-01-01,212195.52,258959.64,New Haven
2003-02-01,212195.52,253090.39,New Haven
2003-03-01,223902.86,269706.86,New Haven
2003-04-01,225000.42,277912.75,New Haven
2003-05-01,238537.03,284797.22,New Haven
2003-06-01,247317.54,302556.48,New Haven
2003-07-01,256829.75,323809.05,New Haven
2003-08-01,256098.04,312227.55,New Haven
2003-09-01,255951.7,322709.39,New Haven
2003-10-01,240000.45,286853.3,New Haven
2003-11-01,248780.96,293045.88,New Haven
2003-12-01,245854.12,296569.3,New Haven
2004-01-01,239466.19,284675.21,New Haven
2004-02-01,220793.53,263254.06,New Haven
2004-03-01,237256.83,283798.9,New Haven
2004-04-01,242316.98,296498.77,New Haven
2004-05-01,258709.01,308169.89,New Haven
2004-06-01,277951.82,335837.0,New Haven
2004-07-01,274388.34,334964.35,New Haven
2004-08-01,274958.5,331513.15,New Haven
2004-09-01,277025.32,335506.18,New Haven
2004-10-01,267974.07,321404.19,New Haven
2004-11-01,275101.04,314932.78,New Haven
2004-12-01,271537.55,319308.91,New Haven
2005-01-01,262006.17,301052.14,New Haven
2005-02-01,241321.47,287809.41,New Haven
2005-03-01,258558.72,301929.64,New Haven
2005-04-01,275795.97,326613.17,New Haven
2005-05-01,289585.77,323702.43,New Haven
2005-06-01,303237.67,344558.32,New Haven
2005-07-01,315786.39,376645.69,New Haven
2005-08-01,315441.64,362726.1,New Haven
2005-09-01,296480.67,345741.0,New Haven
2005-10-01,306478.27,348107.95,New Haven
2005-11-01,301858.69,354886.3,New Haven
2005-12-01,306133.53,335620.26,New Haven
2006-01-01,287225.99,338031.36,New Haven
2006-02-01,287225.99,328703.54,New Haven
2006-03-01,287225.99,342178.75,New Haven
2006-04-01,300585.34,344670.2,New Haven
2006-05-01,307265.01,348424.71,New Haven
2006-06-01,323296.23,372572.26,New Haven
2006-07-01,320624.36,365909.14,New Haven
2006-08-01,316616.56,359376.8,New Haven
2006-09-01,307265.01,344205.15,New Haven
2006-10-01,307265.01,350179.75,New Haven
2006-11-01,296911.52,342946.54,New Haven
2006-12-01,313944.69,351552.43,New Haven
2007-01-01,272717.81,315949.7,New Haven
2007-02-01,272717.81,332944.75,New Haven
2007-03-01,292197.66,336548.34,New Haven
2007-04-01,295768.96,338433.28,New Haven
2007-05-01,298690.94,348077.89,New Haven
2007-06-01,315963.07,395608.12,New Haven
2007-07-01,311677.5,373114.62,New Haven
2007-08-01,311612.57,369959.85,New Haven
2007-09-01,302586.91,348135.44,New Haven
2007-10-01,285704.38,334473.99,New Haven
2007-11-01,280509.75,326614.3,New Haven
2007-12-01,281808.41,354167.4,New Haven
2008-01-01,262696.08,300994.69,New Haven
2008-02-01,266448.88,307665.32,New Haven
2008-03-01,262696.08,301171.73,New Haven
2008-04-01,273954.48,304033.44,New Haven
2008-05-01,268950.75,302920.29,New Haven
2008-06-01,290216.62,360464.2,New Haven
2008-07-01,290216.62,356632.58,New Haven
2008-08-01,278332.75,331098.14,New Haven
2008-09-01,267828.66,303875.15,New Haven
2008-10-01,250186.74,287392.49,New Haven
2008-11-01,237677.41,273318.55,New Haven
2008-12-01,225216.86,271695.92,New Haven
2009-01-01,219616.96,270288.46,New Haven
2009-02-01,200792.65,247796.73,New Haven
2009-03-01,219616.96,264589.07,New Haven
2009-04-01,225546.62,254265.84,New Haven
2009-05-01,238441.27,280028.64,New Haven
2009-06-01,240323.7,285117.27,New Haven
2009-07-01,259148.01,302994.96,New Haven
2009-08-01,250990.81,292027.72,New Haven
2009-09-01,238441.27,275390.09,New Haven
2009-10-01,238441.27,282728.79,New Haven
