Date,Median Sale Price,Average Sale Price,County
2001-01-01,187074.96,236506.76,New London
2001-02-01,205326.17,247620.67,New London
2001-03-01,194679.63,239516.02,New London
2001-04-01,210649.44,244959.93,New London
2001-05-01,197721.5,242496.98,New London
2001-06-01,217037.37,297138.05,New London
2001-07-01,211257.82,251437.64,New London
2001-08-01,210269.21,249564.11,New London
2001-09-01,209888.98,262546.69,New London
2001-10-01,212854.8,258933.21,New London
2001-11-01,205326.17,226659.89,New London
2001-12-01,193158.7,237412.37,New London
2002-01-01,204346.87,241999.61,New London
2002-02-01,208838.01,304760.65,New London
2002-03-01,203317.66,247691.49,New London
2002-04-01,213329.15,255994.41,New London
2002-05-01,215574.72,264045.76,New London
2002-06-01,236533.38,298315.17,New London
2002-07-01,230545.19,275788.01,New London
2002-08-01,239901.73,290992.45,New London
2002-09-01,231218.86,272000.92,New London
2002-10-01,224557.01,263369.05,New London
2002-11-01,224557.01,277690.76,New London
2002-12-01,225904.35,258612.47,New London
2003-01-01,226829.7,276917.9,New London
2003-02-01,234073.61,311777.45,New London
2003-03-01,234907.76,278213.39,New London
2003-04-01,254561.46,316211.5,New London
2003-05-01,241463.87,277942.88,New London
2003-06-01,248780.96,312820.77,New London
2003-07-01,261951.71,312603.41,New London
2003-08-01,270585.88,317576.04,New London
2003-09-01,274756.62,321663.26,New London
2003-10-01,263268.79,322345.56,New London
2003-11-01,256463.9,305782.34,New London
2003-12-01,256098.04,297168.44,New London
2004-01-01,245025.22,308408.55,New London
2004-02-01,249372.68,303723.75,New London
2004-03-01,256570.92,304328.22,New London
2004-04-01,272250.25,324139.75,New London
2004-05-01,285078.79,327553.52,New London
2004-06-01,286504.19,340831.24,New London
2004-07-01,299190.2,366395.95,New London
2004-08-01,280802.61,332320.07,New London
2004-09-01,286504.19,343779.16,New London
2004-10-01,299332.73,357497.93,New London
2004-11-01,277951.82,343163.33,New London
2004-12-01,292205.76,364106.02,New London
2005-01-01,285448.83,351521.67,New London
2005-02-01,303375.57,352941.34,New London
2005-03-01,296480.67,341692.5,New London
2005-04-01,301307.1,344799.25,New London
2005-05-01,324060.27,374043.88,New London
2005-06-01,336471.09,383522.8,New London
2005-07-01,317854.86,374294.21,New London
2005-08-01,340608.02,391679.7,New London
2005-09-01,320612.82,368787.2,New London
2005-10-01,316406.93,369892.74,New London
2005-11-01,344744.96,402807.26,New London
2005-12-01,326818.23,356933.61,New London
2006-01-01,312548.64,372746.12,New London
2006-02-01,300451.75,393765.46,New London
2006-03-01,319154.83,379713.4,New London
2006-04-01,320624.36,371096.1,New London
2006-05-01,320958.35,402570.52,New London
2006-06-01,328639.97,389711.12,New London
2006-07-01,320557.57,388383.9,New London
2006-08-01,326970.05,384641.3,New London
2006-09-01,305929.08,365725.01,New London
2006-10-01,321292.33,362791.33,New London
2006-11-01,306530.25,351686.51,New London
2006-12-01,300585.34,357352.1,New London
2007-01-01,313787.82,374095.6,New London
2007-02-01,294145.64,320787.9,New London
2007-03-01,318040.92,378301.26,New London
2007-04-01,322716.08,385102.49,New London
2007-05-01,327910.71,387977.19,New London
2007-06-01,325638.06,389134.3,New London
2007-07-01,351286.52,395986.66,New London
2007-08-01,319469.44,411263.26,New London
2007-09-01,311677.5,383838.86,New London
2007-10-01,297392.28,352761.01,New London
2007-11-01,314274.81,419274.43,New London
2007-12-01,305184.22,355342.25,New London
2008-01-01,282711.02,329799.29,New London
2008-02-01,260194.21,312853.87,New London
2008-03-01,273954.48,300529.73,New London
2008-04-01,282585.93,312858.97,New London
2008-05-01,293969.42,333737.55,New London
2008-06-01,291417.52,402051.2,New London
2008-07-01,294907.62,333550.3,New London
2008-08-01,272641.0,356652.85,New London
2008-09-01,270201.68,319833.87,New London
2008-10-01,268825.66,305335.23,New London
2008-11-01,237552.31,284545.42,New London
2008-12-01,239241.07,295629.47,New London
2009-01-01,232166.5,270978.45,New London
2009-02-01,238441.27,276516.42,New London
2009-03-01,232166.5,313762.64,New London
2009-04-01,260402.97,309672.58,New London
2009-05-01,258457.79,300712.41,New London
2009-06-01,252245.77,295982.85,New London
2009-07-01,269815.12,298654.19,New London
2009-08-01,249108.38,290475.63,New London
2009-09-01,250990.81,293136.84,New London
2009-10-01,250300.59,306110.01,New London
2009-11-01,251618.29,285718.76,New London
2009-12-01,237186.32,268118.78,New London
2010-01-01,234601.85,252200.33,New London
2010-02-01,240158.21,301180.06,New London
2010-03-01,269174.75,328459.68,New London
2010-04-01,246949.32,291594.55,New London
2010-05-01,259296.78,292753.82,New London
2010-06-01,246949.32,304924.23,New London
2010-07-01,222254.38,291063.89,New London
2010-08-01,264853.14,322043.89,New London
2010-09-01,259296.78,294412.99,New London
2010-10-01,280287.47,313798.57,New London
2010-11-01,231514.98,300978.03,New London
2010-12-01,244479.82,337301.5,New London
2011-01-01,233446.18,287804.51,New London
2011-02-01,227460.38,278217.3,New London
2011-03-01,203517.19,257098.21,New London
2011-04-01,215488.79,238012.47,New London
2011-05-01,215488.79,273177.8,New London
2011-06-01,224467.48,337091.18,New London
2011-07-01,219080.26,350711.23,New London
2011-08-01,244220.62,287546.73,New London
2011-09-01,232189.17,280851.34,New London
2011-10-01,211897.31,277645.56,New London
2011-11-01,218481.68,260937.52,New London
2011-12-01,227460.38,266529.96,New London
2012-01-01,205247.81,257275.04,New London
2012-02-01,213311.11,239216.59,New London
2012-03-01,232809.65,272104.51,New London
2012-04-01,246531.94,302212.07,New London
2012-05-01,258025.81,298303.97,New London
2012-06-01,231343.6,277835.0,New London
2012-07-01,263890.04,303746.32,New London
2012-08-01,220494.79,277310.63,New London
2012-09-01,240433.14,259836.28,New London
2012-10-01,223639.18,274436.77,New London
2012-11-01,228704.7,279927.67,New London
2012-12-01,199383.58,262464.42,New London
2013-01-01,184943.91,213177.34,New London
2013-02-01,184943.91,221084.23,New London
2013-03-01,213841.4,292776.5,New London
2013-04-01,208061.9,254926.2,New London
2013-05-01,221354.74,252984.01,New London
2013-06-01,233722.87,259726.79,New London
2013-07-01,231179.89,280155.06,New London
2013-08-01,242160.94,284284.74,New London
2013-09-01,228290.14,269881.18,New London
2013-10-01,239791.34,270792.01,New London
2013-11-01,202282.4,238754.71,New London
2013-12-01,202282.4,271802.96,New London
2014-01-01,182231.21,261657.63,New London
2014-02-01,179103.02,207470.73,New London
2014-03-01,193378.94,224727.54,New London
2014-04-01,187691.33,228751.76,New London
2014-05-01,216129.4,261940.41,New London
2014-06-01,221817.02,268759.42,New London
2014-07-01,213854.36,256393.98,New London
2014-08-01,222397.16,256405.11,New London
2014-09-01,227504.64,283102.4,New London
2014-10-01,203616.65,265190.6,New London
2014-11-01,214991.88,259285.0,New London
2014-12-01,215560.64,255388.09,New London
2015-01-01,201424.64,247542.29,New London
2015-02-01,176102.77,212730.62,New London
2015-03-01,195985.34,240875.64,New London
2015-04-01,187464.24,241894.81,New London
2015-05-01,225809.19,274445.41,New London
2015-06-01,204506.44,246447.45,New London
2015-07-01,244271.58,278279.69,New London
2015-08-01,214731.76,256928.08,New London
2015-09-01,198825.7,242505.12,New London
2015-10-01,178375.06,225287.48,New London
2015-11-01,201666.07,248725.88,New London
2015-12-01,192008.82,233105.23,New London
2016-01-01,188483.91,223701.32,New London
2016-02-01,200825.11,210322.69,New London
2016-03-01,190615.57,217869.02,New London
2016-04-01,179508.48,219971.98,New London
2016-05-01,209800.54,258701.02,New London
2016-06-01,216532.11,249742.26,New London
2016-07-01,216251.62,241192.17,New London
2016-08-01,231117.17,263181.26,New London
2016-09-01,211146.85,248543.85,New London
2016-10-01,218775.96,282149.38,New London
2016-11-01,191288.73,229158.24,New London
2016-12-01,221861.26,266306.41,New London
2017-01-01,201510.44,217771.98,New London
2017-02-01,205327.0,229535.44,New London
2017-03-01,181134.21,211963.36,New London
2017-04-01,204366.4,234580.74,New London
2017-05-01,208705.28,247006.21,New London
2017-06-01,232157.16,264425.68,New London
2017-07-01,236166.5,254591.11,New London
2017-08-01,221886.66,258435.83,New London
2017-09-01,230564.41,268748.6,New London
2017-10-01,244954.09,297595.76,New London
2017-11-01,209529.11,274265.74,New London
2017-12-01,230674.25,259737.43,New London
2018-01-01,195167.13,215139.39,New London
2018-02-01,198920.34,235443.85,New London
2018-03-01,207499.12,237896.34,New London
2018-04-01,209107.64,251504.69,New London
2018-05-01,225198.2,268146.98,New London
2018-06-01,230554.58,267556.37,New London
2018-07-01,234307.79,281185.07,New London
2018-08-01,233771.62,279538.07,New London
2018-09-01,197848.0,246540.26,New London
2018-10-01,219831.11,254523.38,New London
2018-11-01,215541.72,255319.63,New London
2018-12-01,207499.12,238664.29,New London
2019-01-01,215918.43,249973.44,New London
2019-02-01,210652.13,233200.57,New London
2019-03-01,208150.63,260962.57,New London
2019-04-01,215918.43,252928.78,New London
2019-05-01,226451.03,268073.21,New London
2019-06-01,243303.2,263474.99,New London
2019-07-01,236983.64,280633.19,New London
2019-08-01,231717.34,265494.44,New London
2019-09-01,226451.03,274519.11,New London
2019-10-01,218814.9,264242.98,New London
2019-11-01,218551.58,264811.22,New London
2019-12-01,231717.34,249721.49,New London
2020-01-01,213256.19,247079.12,New London
2020-02-01,207430.66,227008.99,New London
2020-03-01,217937.43,242452.83,New London
2020-04-01,236090.21,269370.41,New London
2020-05-01,240771.44,269338.93,New London
2020-06-01,249665.79,298161.54,New London
2020-07-01,261108.8,302197.94,New London
2020-08-01,262409.15,299341.19,New London
2020-09-01,279209.57,334706.19,New London
2020-10-01,270471.27,344248.87,New London
2020-11-01,270367.24,330238.55,New London
2020-12-01,260068.53,330915.6,New London
2021-01-01,224000.0,278862.16,New London
2021-02-01,250000.0,299058.67,New London
2021-03-01,239000.0,286087.61,New London
2021-04-01,250000.0,297213.28,New London
2021-05-01,263350.0,322130.19,New London
2021-06-01,280000.0,311439.43,New London
2021-07-01,275000.0,325331.67,New London
2021-08-01,285000.0,338057.4,New London
2021-09-01,268500.0,309011.73,New London
2021-10-01,266700.0,329944.7,New London
