Date,Median Sale Price,Average Sale Price,County
2001-01-01,197569.41,221851.66,Tolland
2001-02-01,180230.75,200570.34,Tolland
2001-03-01,197721.5,208545.81,Tolland
2001-04-01,194679.63,205002.1,Tolland
2001-05-01,210725.49,226294.87,Tolland
2001-06-01,228140.19,234520.64,Tolland
2001-07-01,231182.06,246457.58,Tolland
2001-08-01,228064.15,258400.88,Tolland
2001-09-01,231182.06,232755.26,Tolland
2001-10-01,250954.21,244262.18,Tolland
2001-11-01,223577.39,242710.37,Tolland
2001-12-01,218178.07,229820.43,Tolland
2002-01-01,202101.3,231820.43,Tolland
2002-02-01,215574.72,278983.02,Tolland
2002-03-01,209586.54,241397.7,Tolland
2002-04-01,221113.8,230933.1,Tolland
2002-05-01,226802.58,242313.27,Tolland
2002-06-01,233539.29,243797.91,Tolland
2002-07-01,254497.94,267258.61,Tolland
2002-08-01,232042.24,249465.77,Tolland
2002-09-01,254497.94,276323.59,Tolland
2002-10-01,252177.52,271051.79,Tolland
2002-11-01,246563.59,264913.35,Tolland
2002-12-01,253749.42,304217.74,Tolland
2003-01-01,234146.78,259557.17,Tolland
2003-02-01,241463.87,272034.28,Tolland
2003-03-01,231951.66,242908.24,Tolland
2003-04-01,235610.2,252751.45,Tolland
2003-05-01,248780.96,259342.81,Tolland
2003-06-01,248707.79,276162.0,Tolland
2003-07-01,259390.73,279751.75,Tolland
2003-08-01,260122.44,295758.77,Tolland
2003-09-01,253902.92,260415.83,Tolland
2003-10-01,253171.21,271146.5,Tolland
2003-11-01,261805.37,284317.95,Tolland
2003-12-01,256098.04,271611.18,Tolland
2004-01-01,216659.88,236160.38,Tolland
2004-02-01,248018.55,255738.94,Tolland
2004-03-01,235190.01,260032.93,Tolland
2004-04-01,270824.86,302238.1,Tolland
2004-05-01,258709.01,269975.1,Tolland
2004-06-01,283653.4,302158.19,Tolland
2004-07-01,299332.73,314066.89,Tolland
2004-08-01,300758.13,320433.17,Tolland
2004-09-01,283938.48,307847.27,Tolland
2004-10-01,292205.76,305454.16,Tolland
2004-11-01,299332.73,317166.63,Tolland
2004-12-01,306459.7,314202.83,Tolland
2005-01-01,282966.67,310679.82,Tolland
2005-02-01,262006.17,276453.44,Tolland
2005-03-01,275795.97,301983.52,Tolland
2005-04-01,273727.5,286877.57,Tolland
2005-05-01,310201.52,327526.59,Tolland
2005-06-01,310270.47,322898.36,Tolland
2005-07-01,296480.67,315931.03,Tolland
2005-08-01,310959.96,329321.01,Tolland
2005-09-01,317027.47,336718.27,Tolland
2005-10-01,296480.67,325085.02,Tolland
2005-11-01,292343.73,314143.31,Tolland
2005-12-01,326818.23,341767.19,Tolland
2006-01-01,316616.56,328708.17,Tolland
2006-02-01,278789.56,299667.1,Tolland
2006-03-01,300585.34,320985.2,Tolland
2006-04-01,300585.34,316274.69,Tolland
2006-05-01,301921.27,307683.21,Tolland
2006-06-01,305929.08,318498.8,Tolland
2006-07-01,307265.01,338295.78,Tolland
2006-08-01,331729.32,347548.43,Tolland
2006-09-01,314545.86,343591.23,Tolland
2006-10-01,304259.16,305656.05,Tolland
2006-11-01,299917.37,318257.85,Tolland
2006-12-01,276538.51,287055.81,Tolland
2007-01-01,305184.22,313339.35,Tolland
2007-02-01,283107.06,287184.92,Tolland
2007-03-01,309080.19,316586.37,Tolland
2007-04-01,298561.07,312066.76,Tolland
2007-05-01,292197.66,319988.11,Tolland
2007-06-01,305054.36,316379.01,Tolland
2007-07-01,322066.75,334825.07,Tolland
2007-08-01,318170.78,326021.68,Tolland
2007-09-01,298690.94,321280.04,Tolland
2007-10-01,301288.25,311600.56,Tolland
2007-11-01,305184.22,327894.24,Tolland
2007-12-01,308430.86,320245.94,Tolland
2008-01-01,275205.42,271844.53,Tolland
2008-02-01,278332.75,296111.07,Tolland
2008-03-01,275205.42,288096.01,Tolland
2008-04-01,275080.33,286888.1,Tolland
2008-05-01,304863.81,317905.05,Tolland
2008-06-01,286463.82,314637.46,Tolland
2008-07-01,285838.36,310882.01,Tolland
2008-08-01,281460.09,305512.29,Tolland
2008-09-01,275205.42,294045.81,Tolland
2008-10-01,268950.75,283758.98,Tolland
2008-11-01,262696.08,295816.34,Tolland
2008-12-01,275080.33,295454.65,Tolland
2009-01-01,243619.84,246115.05,Tolland
