Date,Median Sale Price,Average Sale Price,County
2001-01-01,154869.17,176613.38,Windham
2001-02-01,173766.78,173352.23,Windham
2001-03-01,158025.11,167094.61,Windham
2001-04-01,157416.73,157114.1,Windham
2001-05-01,177949.35,185867.17,Windham
2001-06-01,171105.14,188555.35,Windham
2001-07-01,178633.77,201654.83,Windham
2001-08-01,174907.48,186075.5,Windham
2001-09-01,182360.06,189539.37,Windham
2001-10-01,172626.08,187451.84,Windham
2001-11-01,187074.96,187117.95,Windham
2001-12-01,182512.15,179037.49,Windham
2002-01-01,179495.9,189558.12,Windham
2002-02-01,164675.14,180852.41,Windham
2002-03-01,173657.42,184759.39,Windham
2002-04-01,169166.28,173901.38,Windham
2002-05-01,173657.42,192673.59,Windham
2002-06-01,190124.93,205039.92,Windham
2002-07-01,194616.07,217520.01,Windham
2002-08-01,194541.22,213742.17,Windham
2002-09-01,192669.91,210496.8,Windham
2002-10-01,190124.93,209285.1,Windham
2002-11-01,194616.07,204998.33,Windham
2002-12-01,196113.12,205634.6,Windham
2003-01-01,196097.93,223102.06,Windham
2003-02-01,204146.73,205534.06,Windham
2003-03-01,186219.86,196342.16,Windham
2003-04-01,197561.35,205823.38,Windham
2003-05-01,204805.26,226203.98,Windham
2003-06-01,219512.61,237394.68,Windham
2003-07-01,219512.61,243166.66,Windham
2003-08-01,215122.36,234449.05,Windham
2003-09-01,219366.27,220099.97,Windham
2003-10-01,220976.03,236696.54,Windham
2003-11-01,222439.44,236222.49,Windham
2003-12-01,221890.66,238041.98,Windham
2004-01-01,206682.13,216232.83,Windham
2004-02-01,206682.13,211365.68,Windham
2004-03-01,220936.07,235526.96,Windham
2004-04-01,224855.9,233059.63,Windham
2004-05-01,243742.37,247089.01,Windham
2004-06-01,249443.95,269447.6,Windham
2004-07-01,242174.44,263022.72,Windham
2004-08-01,242174.44,256702.03,Windham
2004-09-01,256570.92,266920.1,Windham
2004-10-01,263697.89,287322.23,Windham
2004-11-01,256570.92,279632.08,Windham
2004-12-01,267475.18,276823.55,Windham
2005-01-01,263385.15,277047.28,Windham
2005-02-01,234357.63,249514.91,Windham
2005-03-01,248216.37,270251.96,Windham
2005-04-01,260627.19,293720.86,Windham
2005-05-01,275795.97,288327.97,Windham
2005-06-01,262006.17,275772.73,Windham
2005-07-01,283311.41,296157.28,Windham
2005-08-01,273038.01,298736.7,Windham
2005-09-01,275795.97,293100.29,Windham
2005-10-01,282621.92,297431.63,Windham
2005-11-01,274761.74,297098.62,Windham
2005-12-01,275658.07,307516.14,Windham
